"Site Crawled","https://nordhealth.fi/"
"Start Date","2026-05-31"
"Start Time","08:10:01"
"Last Modified Date","2026-05-31"
"Last Modified Time","08:14:08"
"Elapsed","00:04:06"
"Report Date","2026-05-31"
"Report Time","08:14:08"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"Meta Viewport Zoom & Scaling Disabled","0","0.00%","1825",""
"HTML Element Lang Attribute Value Must Be Valid","0","0.00%","1825",""
"HTML Element Requires Lang Attribute","0","0.00%","1825",""
"HTML Lang & XML Lang Value Should Match","0","0.00%","1825",""
"Lang Attribute Requires Valid Value","0","0.00%","1825",""
"Delayed Meta Refresh Must Not Be Used","0","0.00%","1825",""
"Timed Meta Refresh Must Not Exist","0","0.00%","1825",""
"Image Button Requires Alternate Text","0","0.00%","1825",""
"Images Require Alternate Text","0","0.00%","1825",""
"<object> Elements Require Alternate Text","0","0.00%","1825",""
"Active <area> Elements Require Alternate Text","0","0.00%","1825",""
"Alt Text Should Not Be Repeated As Text","0","0.00%","1825",""
"Elements Marked role=img Require Alternate Text","0","0.00%","1825",""
"SVG Images & Graphics Require Accessible Text","0","0.00%","1825",""
"Server-Side Image Maps Must Not Be Used","0","0.00%","1825",""
"<video> Elements Require <track> For Captions","0","0.00%","1825",""
"<video> or <audio> Elements Must Not Auto-play","0","0.00%","1825",""
"Buttons Require Discernible Text","0","0.00%","1825",""
"Input Buttons Require Discernible Text","0","0.00%","1825",""
"Inline Text Spacing Must Be Adjustable","0","0.00%","1825",""
"Links Must Be Distinguishable","0","0.00%","1825",""
"Links Require Discernible Text","0","0.00%","1825",""
"Links With Same Accessible Name","0","0.00%","1825",""
"Select Element Requires Accessible Name","0","0.00%","1825",""
"Summary Elements Require Discernible Text","0","0.00%","1825",""
"Deprecated <marquee> Element Must Not Be Used","0","0.00%","1825",""
